csv_row,id,respondent_id_text,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
140,5c553f37-9ec3-4520-9483-3d0afc1829ce,425,,17,,4,4,2,2,4,4,1,2,4,4,2,2,3,3,2,2,4,4,2,2,5,5,2,1,4,4,2,2,4,4,2,2
141,5e1e76ed-8f78-4739-8b29-18d45b19f3ea,88,,17,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
142,5ed82ebd-5ba9-4439-8798-170f9923d8a6,23,,17,,4,5,5,1,3,2,1,1,4,5,1,4,3,3,3,3,4,4,2,3,4,4,1,2,3,2,3,2,4,4,4,4
143,5fa50a37-483d-47b7-87bd-7356d0355c5e,21,,17,,3,4,2,3,3,4,4,2,3,4,4,2,4,3,2,2,3,4,3,3,4,4,4,3,3,3,3,2,4,4,3,4
144,604aab42-3539-4d4f-885f-312eb28e11f6,265,,18,,4,5,3,1,4,4,1,1,5,5,5,1,5,4,3,4,5,1,5,2,5,5,1,1,5,5,1,1,5,5,5,5
145,61a1d99c-800c-4e3d-9d1e-d5c2d8aef14b,447,,17,,4,4,3,2,4,5,2,2,5,4,1,2,4,4,2,2,4,4,1,2,5,5,1,2,4,4,1,2,4,4,3,3
146,63cbdaf2-7ee6-455a-94bf-a6e6f5336526,146,,17,,4,4,2,2,3,4,2,2,4,4,2,2,3,3,2,3,3,3,2,3,4,4,2,2,3,2,2,2,4,4,4,4
147,63e87aa7-c6a9-4ad4-b3fb-b82510f86126,435,,17,,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,4,4
148,642fd59c-e1bf-49c2-95a7-764415030095,345,,18,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
149,645d4f78-1ace-49a8-9b60-e95c8785acad,191,,17,,4,4,3,3,4,5,2,1,5,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,4,1,1,5,5,4,4
150,647c855c-9538-480f-b5cf-8f1b080717a7,152,,17,,3,4,3,2,5,5,1,1,5,5,1,1,4,4,2,1,4,4,2,1,5,5,1,1,5,4,1,1,4,4,2,1
151,64efeab1-9fe2-455d-902c-3e0b10201dd1,7,,18,,4,3,2,3,5,4,1,1,5,4,1,1,4,4,1,2,4,4,1,3,5,4,1,1,4,3,1,3,5,4,3,3
152,651aa430-1756-4b0e-90d0-6d4ba76ad8f7,501,,17,,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1
153,65971491-9fca-4ac2-8faa-f6ae7d97dc33,375,,17,,3,4,4,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,3,4,4,3,3
154,65a7d2e5-9997-49c6-9eaf-ddc31d0294f0,229,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
155,663928d9-95d9-4f68-a8e1-8f3093b694fc,49,,19,,5,5,1,1,5,5,1,1,4,4,1,1,5,4,1,1,4,5,1,1,5,5,1,1,4,5,1,1,5,5,1,4
156,665043e7-e292-406f-9e31-c00319f0ee34,142,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
157,6676e132-3a06-4587-86a6-87eb87b381ca,563,,17,,4,5,2,1,5,5,1,1,5,5,1,1,4,5,3,2,4,5,3,2,5,5,1,1,5,5,1,1,5,5,4,5
158,66c456e9-fee7-4c6e-a65c-841869384ab5,191,,17,,4,5,3,3,5,5,1,1,5,5,2,1,4,4,1,5,4,5,2,2,5,5,1,2,4,4,2,1,4,5,4,4
159,6751e571-e951-4279-bd25-2a4ca487b238,224,,17,,3,4,2,2,4,5,1,2,4,2,2,2,3,4,2,2,4,2,3,2,3,4,3,2,3,3,2,2,4,3,5,4
160,6766c220-5064-491c-8e72-20d108aaa16a,577,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2
161,67c31d90-10c8-4aa6-9795-e50319bdd250,352,,17,,5,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,2,1,5,5,5,5
162,67fa7809-526e-4358-9aac-fe6fb8f55c9b,537,,17,,4,5,2,1,5,4,1,1,5,5,1,1,5,5,2,1,5,5,1,2,5,5,1,1,4,4,2,2,5,5,1,1
163,68b92707-4f02-4274-8741-80177850e378,249,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
164,68e867e6-e362-45a6-ba93-34bfb199b9e7,295,,17,,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2
165,69433a40-74f1-40ca-914e-f06ad70bf4e7,5,,18,,4,4,2,2,5,5,1,1,5,5,1,2,4,4,2,2,4,4,2,1,5,5,1,2,4,4,3,4,5,5,4,3
166,6a16c075-6659-474a-8c34-79dcafa80e1a,33,,17,,3,4,2,1,4,4,1,1,3,4,1,1,4,4,3,3,3,4,4,2,4,4,1,2,4,4,1,1,3,5,4,2
167,6b978a93-c21b-4ef0-8870-3a644f874808,402,,17,,3,4,4,5,4,5,1,2,3,4,1,2,4,3,2,4,3,3,4,3,3,4,2,2,2,4,3,2,3,5,2,2
168,6c6ccb19-9bd9-44a7-97ea-55d8b3500085,423,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,1
169,6c8dfe4b-7308-4196-b519-534a8b757996,291,,18,,2,3,3,3,4,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,4,3,2,3,4,2,2,3,3,3,3
170,6cfc7960-1dd8-47ea-9916-6a2bead50b56,336,,17,,4,3,2,2,3,5,2,2,4,4,4,1,4,4,1,1,4,4,2,1,5,4,2,2,4,4,2,1,4,5,4,5
171,6d867e28-74c9-4b36-b7b5-ade6b751669f,212,,17,,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
172,6e7a2a76-0b5a-460b-9763-a42ec1f7009a,221,,18,,3,5,2,2,4,5,2,1,5,5,1,2,5,5,5,3,5,5,1,3,5,5,2,2,5,4,1,1,5,5,5,5
173,6ec7e9a0-db8f-4e41-96bb-2abb43a8b197,9,,18,,2,3,3,3,3,4,1,1,5,5,1,2,3,1,2,1,5,5,1,1,5,5,1,1,3,5,2,1,5,5,2,2
174,6f43177c-1f5e-4790-9993-326736d9c21d,147,,17,,1,5,5,1,5,5,1,1,5,5,1,3,3,3,3,1,5,4,2,3,4,5,1,2,4,3,3,2,5,5,3,2
175,6fc65fa3-79f2-4093-a14a-3867212adac3,543,,17,,4,4,2,2,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,4,2,1,5,4,2,1,5,5,1,1
176,70b4e626-0bd2-4858-95d6-07b82bdc4d1a,8,,17,,2,3,3,3,3,4,1,2,5,5,1,1,3,3,2,5,5,4,1,3,5,3,1,3,4,4,1,1,5,4,2,2
177,70c18e1e-7954-4b42-a056-9a5f993306a2,207,,17,,4,4,3,3,4,4,2,2,4,4,2,3,4,4,2,2,5,4,3,2,4,5,1,1,4,4,2,2,4,5,3,2
178,70dde382-1997-45dc-9b48-5077f81969dd,159,,17,,3,5,4,2,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,3,1,5,5,5,5,3
179,7149dda4-b79d-4362-a9b7-3272de02b90b,194,,17,,3,3,3,3,5,5,1,2,4,3,2,4,3,3,2,1,5,5,2,1,5,5,1,1,3,4,1,1,5,5,3,3
180,7226a904-7b22-4e8c-bb96-f2ca255a4711,47,,17,,4,4,2,2,4,4,1,2,4,4,2,2,4,4,2,2,4,5,2,2,4,5,2,2,4,5,2,2,4,4,4,4
181,7231c503-c189-4cdc-aa15-d5f9edb82bb9,86,,16,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,4
182,726d22d2-2d48-43b5-861f-139e763a5eca,305,,17,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
183,729ca192-9291-412b-a9b3-37df2ac04ec5,128,,18,,2,3,4,3,3,4,2,4,3,2,3,4,4,3,2,4,4,3,3,3,4,4,1,2,3,4,4,3,3,3,4,3
184,72c70c2a-e1be-4412-9916-ea9ec8e5ef75,427,,18,,4,4,2,1,3,1,2,2,5,4,1,2,4,4,3,3,4,5,2,2,5,4,2,1,4,4,1,1,5,5,4,4
185,74258a6f-35eb-43a6-9dd4-a69779c986f9,40,,18,,3,4,3,1,4,5,1,1,5,4,1,1,4,4,1,1,3,4,3,1,4,4,1,1,3,3,1,1,5,5,2,1
186,74387f77-073c-4f89-9db7-2b4995853dfb,69,,17,,4,4,2,3,4,5,1,1,4,5,2,2,3,4,3,3,4,4,3,2,4,5,2,1,5,5,1,1,5,5,3,2
187,74546110-ab38-4a21-9549-077376d97b7a,65,,17,,4,4,3,2,2,1,2,1,5,5,1,1,4,4,2,1,5,5,2,2,5,5,1,1,5,5,1,2,5,5,5,5
188,747d9d8a-1da9-4fdb-93bb-ba6979af92dd,297,,18,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
189,757e8e23-10f9-42e8-84cb-3a702438e1ef,3,,17,,4,3,4,2,4,4,1,2,2,4,3,4,2,4,3,2,2,2,2,4,4,2,3,3,2,4,3,2,2,4,2,2
190,75a4a07c-c7b3-4f74-b671-dc30b95ea4af,229,,17,,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
191,75b85d21-adde-438f-ae3e-2f37a8ccc562,181,,16,,4,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,2,5,5,5,5
192,769466b2-a4b0-42cc-be1d-6e66e9ee0d9a,332,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
193,76fd1723-9cd8-4a3e-9807-acc04c2ad248,11,,18,,5,3,3,3,5,3,1,3,4,3,1,3,5,3,1,3,5,3,2,5,5,2,1,5,4,4,1,2,5,4,5,3
194,77179c1d-72db-429e-9615-c44b21540270,281,,18,,3,4,3,2,4,3,2,1,5,5,2,1,4,3,2,2,4,4,2,2,5,5,1,1,4,4,2,2,3,3,3,4
195,774cb653-6dea-4109-a6d7-d46576af9b8e,168,,18,,5,4,2,2,5,4,1,2,4,4,1,2,3,4,1,2,5,4,1,2,5,5,1,1,4,4,2,2,4,5,4,4
196,779a7bf6-7bdc-41f1-9bc0-056475f4f009,348,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
197,77def62a-9680-455b-bda6-10120130f062,567,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
198,795c7804-a7cd-448f-b6b7-58ccd3edb418,208,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
199,79a34436-a91f-45da-950d-66a9f7ec3d64,114,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
200,7ad89401-17c7-463b-8e8b-5881707a5c08,294,,17,,3,5,2,1,5,5,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,1
201,7b0ca48e-5a0a-4620-b918-98fa1fbabf00,110,,17,,4,4,4,2,5,4,1,2,5,4,1,1,4,4,2,1,4,5,2,1,5,5,2,1,5,4,1,1,5,4,5,4
202,7be74c1a-0220-43d5-b9d8-d31291261d4b,218,,17,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,4
203,7c92e2ad-73be-4203-9ac9-54592e5a8380,489,,17,,4,4,3,2,5,5,1,1,4,5,2,1,4,5,1,1,4,5,1,1,5,5,1,1,4,4,3,2,5,5,3,3
204,7d05ed39-8833-4bf5-9707-8d7841f75643,420,,18,,3,4,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3
205,7d8b1248-b141-4099-a610-86c905ce99c0,535,,17,,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
206,7dd0f9e6-4925-466a-8ad9-7b9ec79c955c,348,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
207,7f60a61d-03e7-4a01-9f8f-cb357dfc976e,99,,17,,3,5,3,1,3,4,2,1,4,4,1,2,3,4,2,2,4,4,2,2,4,4,2,2,3,3,2,2,4,4,4,4
208,7ff69b94-7202-4978-835c-3c048cefc792,231,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1
209,8002243f-05ba-4774-9661-fb11916413f4,399,,17,,3,4,3,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,3,3
210,800478df-7b26-4638-bee0-2a472e7a78a6,247,,17,,2,2,1,3,3,2,1,2,5,5,1,3,4,2,3,2,3,3,4,1,3,5,2,1,2,3,3,3,2,4,4,4
211,80683e97-5a27-48e0-8d34-251ba3831c02,171,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
212,80fa109f-bddd-4f74-bbca-f4bba99cdead,174,,17,,4,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2
213,81d74bfc-c7f0-4d0d-b8e6-d8bd407b0770,57,,17,,3,4,2,2,3,3,2,2,2,2,4,2,4,2,4,2,3,5,3,3,3,4,4,2,2,4,2,2,5,4,2,4
214,8312d5b1-187d-46aa-a5d0-99468bb98b76,532,,18,,3,4,3,3,3,3,5,3,2,3,2,3,2,3,4,4,1,2,2,3,3,2,2,3,3,2,3,2,4,3,3,3
215,8366163f-03e6-4e76-bfab-d682405560dd,6,,18,,2,3,3,3,3,4,1,4,5,5,1,1,3,2,2,5,4,1,1,4,5,2,1,3,4,3,1,3,5,1,3,1
216,83a1ebea-a9d7-43df-be8e-94fae56b91ba,205,,18,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
217,84b60068-abae-4b1b-a6f2-07757fea1607,142,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
218,85198aac-16d3-400e-a0f6-ef2d26637233,581,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
219,8567782b-237c-4154-bde8-ca7e6dc108d9,398,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
220,872404bc-b157-4af7-9610-cd759b6c1e9e,314,,18,,3,4,4,2,4,4,2,2,5,4,2,2,4,4,1,2,4,4,3,2,4,4,2,2,3,4,2,2,4,4,2,2
221,87863eef-5011-4191-b81b-42e7213922ce,237,,16,,3,5,1,1,5,5,1,1,5,5,1,1,4,5,2,1,4,4,2,2,5,5,1,1,4,4,2,1,5,5,1,1
222,87dbaa63-b80a-491e-a9cd-2d754c96ee70,210,,17,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
223,89c81524-09b0-4b85-8352-14f418f43284,565,,17,,4,3,3,3,5,5,2,3,4,4,4,2,4,4,2,2,4,4,2,2,5,4,2,2,3,4,2,2,4,4,2,1
224,8a136670-42c9-4c72-9f17-078c54bd4b8d,154,,17,,3,4,4,4,5,4,3,3,4,3,2,4,2,3,3,4,4,4,4,3,4,5,3,3,3,4,3,4,5,5,4,4
225,8a4878d7-460d-4734-ac51-bc0f75be3240,509,,17,,2,3,4,2,4,4,3,3,4,4,2,2,2,2,1,3,3,3,2,4,4,5,2,4,3,3,2,4,5,4,3,2
226,8b2c6220-2f3f-452c-be88-f2735c43c5e6,179,,17,,5,5,2,2,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,5,5
227,8b4d7b82-e3e1-4690-a694-bc24713b0f41,287,,17,,4,5,2,1,4,3,1,1,5,5,2,1,4,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
228,8c3118cc-604d-40d6-9d4d-fe6059cc310f,496,,17,,4,5,4,3,4,5,2,2,4,4,2,3,4,4,3,3,3,4,3,3,4,4,2,2,4,4,2,2,4,3,4,4
229,8cd47c5a-5cfc-43ae-a96a-92581c529e28,198,,18,,4,4,2,2,4,3,1,1,3,4,3,3,3,3,3,3,4,4,4,3,3,4,2,2,3,3,3,2,4,4,3,3
230,8daba505-08ec-4615-9d8a-61f46b0c2056,201,,18,,5,5,1,1,4,4,1,1,4,5,5,4,5,4,3,3,4,4,3,3,5,5,1,2,4,4,2,2,5,4,1,2
231,8ead3fd4-5e9f-48c8-ba4c-a5f422a3343a,400,,17,,4,5,2,1,4,5,2,1,5,5,2,1,5,5,2,1,4,5,2,1,5,5,2,1,4,5,2,1,5,5,5,3
232,906ed187-2374-4ad3-b411-f19d675cfc8c,37,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
233,910296cf-eeda-43ab-8333-54577b613936,378,,17,,5,5,3,2,4,4,1,1,4,4,2,2,5,4,2,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,2,1
234,91ae3c49-9ab1-4f57-ac27-b9be2f268051,253,,18,,5,5,2,3,3,3,1,1,5,5,1,1,2,5,1,2,3,5,1,2,5,5,1,1,5,5,1,1,5,5,1,5
235,939db6b1-4ae3-48dd-a6fc-21ff8fff5697,579,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2
236,95dd593b-804c-4f05-993c-2c5b6621d5c1,547,,17,,4,1,4,3,5,1,5,5,1,2,4,3,1,1,4,4,1,2,5,5,1,1,4,1,1,1,5,5,3,5,3,4
237,96369d51-2d9a-4fb2-b2e5-299ec1baa5d7,457,,18,,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1
238,9812b04d-42a7-45c4-9f37-14915c500734,206,,17,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
239,992d48bd-41de-4914-b587-f042642f1e52,383,,18,,5,5,1,3,5,5,1,1,4,3,4,4,5,4,3,3,4,3,3,3,5,5,3,1,4,4,4,3,4,4,4,3
240,99651728-9da6-4c22-9572-2e7ffb456a8e,535,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
241,99d81e50-8a3e-4088-9daa-5a11efb8d9bb,422,,18,,4,5,2,1,4,5,1,1,4,5,1,1,5,5,2,1,4,5,1,1,5,5,1,1,3,5,2,1,5,5,4,5
242,99f6b8e9-49a8-40f3-991f-403ce49604ff,225,,17,,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1
243,9a480426-4cfc-48d0-b05f-27bb4266d43e,334,,17,,3,4,2,2,4,4,2,2,4,4,4,2,4,4,2,2,4,4,1,2,4,4,2,2,4,4,1,2,4,4,4,4
244,9a6265e0-e6b8-4002-af71-9d9756a6e2fe,206,,17,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
245,9b36899e-580d-4b08-8b76-ca7862a742ce,408,,17,,4,5,4,1,5,5,1,1,5,5,5,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
246,9c16a6d1-f55e-421e-b433-fc83425ea757,107,,17,,5,5,2,1,4,3,3,2,4,4,2,1,5,5,2,1,5,5,2,1,5,5,2,1,5,5,1,1,5,5,3,3
247,9d007c54-11fa-4ab0-90ae-422f542cc40f,287,,17,,5,4,4,2,4,3,1,1,5,5,1,1,4,4,2,1,5,4,1,1,5,5,1,1,4,5,1,1,5,5,4,5
248,9eadfdae-5035-41bf-9046-27244535710a,126,,17,,4,4,1,1,4,4,1,1,4,4,1,1,3,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,4,4
249,9f1eec06-357b-4838-8828-a9eb1650b09c,236,,18,,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3
250,9f466bf3-09ee-4fdb-a826-9f4f639c5950,456,,17,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
251,9f74c1c7-9bf2-4b5d-9022-f679f95f31af,450,,18,,5,5,3,3,5,5,1,1,4,5,1,1,4,4,1,2,4,4,1,1,4,5,1,1,3,4,1,1,3,3,1,1
252,9f887c78-ec3a-4693-a394-9e8e652f73d1,418,,17,,4,5,2,1,5,5,1,1,5,5,5,1,5,5,1,1,5,5,1,1,5,5,1,1,1,5,1,1,5,5,5,5
253,a08793c6-356b-4957-9be7-c949635cd670,387,,17,,3,3,3,2,5,4,1,1,5,4,1,1,5,4,2,2,4,4,2,2,5,4,2,2,4,4,4,2,4,4,3,3
254,a1e13f5b-5e9a-44ed-88f9-140ea943d76f,214,,17,,3,3,5,4,5,5,1,1,5,5,1,1,5,4,1,1,4,4,1,1,5,5,1,1,4,4,1,1,5,4,2,2
255,a306ea8b-90c2-470a-a2aa-b85ba8514074,140,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,2
256,a331f197-6b76-4295-a54d-a6bd403143db,370,,17,,4,4,3,3,4,4,2,2,5,5,2,2,4,4,2,2,4,4,3,2,4,4,2,2,4,4,2,2,4,4,4,4
257,a41b62fd-2c29-43bc-ad11-d424aab6b01a,109,,17,,5,5,1,1,2,1,1,1,5,5,1,1,5,5,1,2,5,5,2,1,5,5,2,1,5,5,1,1,5,5,3,3
258,a458bbef-acc0-4dd0-952c-ef4476e7c111,237,,16,,4,4,2,1,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,5,4,1,2,3,4,2,2,4,5,2,2
259,a510773c-f102-4149-ba8f-7a12c9d8624e,82,,18,,4,3,3,4,5,5,1,1,5,4,1,1,4,3,1,1,4,5,1,2,3,4,1,1,4,4,1,1,4,3,5,4
260,a5762d30-484b-4a37-ac90-904daaa01a34,55,,17,,4,5,3,3,4,3,2,3,5,5,1,3,4,5,3,3,5,5,3,3,5,5,1,1,5,5,1,3,5,5,5,5
261,a58db8de-1159-4a71-9be1-a93454d5af1c,171,,18,,4,5,2,2,4,4,1,1,5,5,1,1,5,4,1,1,5,4,2,1,5,5,1,1,4,5,1,1,5,5,2,3
262,a5afd098-3fb2-4e34-9092-df275cf3cd9b,204,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
263,a6537c42-5cff-4eb3-b49f-0429c72075ce,553,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
264,a7157e38-2184-4f1e-9afc-814089531b4d,294,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
265,a7d02471-660f-41f0-88a7-1b476c7a73eb,254,,18,,4,3,3,2,5,5,2,1,5,5,3,2,4,5,3,3,4,4,2,4,4,4,2,1,5,5,2,2,4,5,1,1
266,a985f884-c514-43d8-a036-f3a408e3bff0,258,,17,,3,4,3,2,5,4,1,1,5,4,1,1,4,4,2,2,4,3,1,2,4,4,1,1,4,5,1,2,3,4,3,2
267,a9b376bb-1b38-4966-b866-033177b38ef0,256,,18,,4,3,3,3,5,4,2,2,4,4,2,2,3,3,2,2,4,4,3,2,4,4,2,2,4,3,2,2,4,5,3,3
268,aa021196-b4c1-4c2b-acce-9d6dcd21f6ee,553,,17,,3,4,3,2,4,3,1,2,4,4,2,2,3,4,3,2,3,4,4,2,4,4,2,2,4,4,1,2,4,4,2,3
269,aa0e3831-109e-4b96-bc8f-927183aab3f9,580,,18,,4,5,2,1,4,5,1,1,5,5,1,1,4,5,1,1,5,5,2,1,4,5,2,1,3,3,3,3,5,5,1,1
270,aa5c8b24-6f22-428a-9339-24ada42ac9ac,79,,17,,4,5,2,2,4,4,2,2,4,5,1,1,4,4,2,2,4,4,1,2,5,5,2,1,5,4,2,2,5,5,3,3
271,aa67ce28-8302-483a-907f-a328681ed778,6,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
272,ab25aebc-cc2d-4020-b20d-d736ad064bed,382,,17,,5,5,3,3,5,5,1,1,5,5,1,1,5,5,3,2,5,5,1,2,5,5,2,1,4,5,1,1,5,5,5,5
273,abdc3450-6c10-44f5-961c-4bc39f364ad5,269,,18,,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,1,2,3,3,2,2,3,3,3,3
274,ac0a419b-d484-465c-8508-241580e6dff2,2,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
275,acc2afab-f485-47ad-848e-6024bce82dd1,553,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
276,acc3a35e-30db-42dd-a993-bf288116678e,70,,18,,1,4,5,5,5,5,3,3,5,4,4,5,3,5,5,5,4,4,5,3,4,5,3,4,3,5,5,4,3,4,5,2
277,ad0fc674-a907-4b1c-805c-07c78c0d7280,551,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
278,ad5f4d43-7aa6-4111-839d-e130415764ce,404,,17,,5,5,1,1,5,5,1,1,1,3,1,5,5,3,1,5,5,3,1,1,5,1,1,1,5,5,1,1,5,5,1,1
279,ad62d9b9-c1e4-444e-8d1d-0c99b99b4803,144,,18,,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,5,5
